"","tournamentType","tournament","location","date","outdoor","surface","priceMoneyTotal","round","rankOpponent","opponent","opponentLink","win","score","eventPoints","rank","priceMoney"
"310","ATP Masters 1000","ATP Masters 1000 Rome","Rome, Italy","2015.05.11 - 2015.05.17","O","Clay","€3,288,530","Round of 32","24","Pablo Cuevas","/en/players/pablo-cuevas/c882/","W","763 64","600","2","€308,000"
"311","ATP Masters 1000","ATP Masters 1000 Rome","Rome, Italy","2015.05.11 - 2015.05.17","O","Clay","€3,288,530","Round of 64",NA,"Bye",NA,"","","600","2","€308,000"
"312","ATP Masters 1000","ATP Masters 1000 Madrid","Madrid, Spain","2015.05.04 - 2015.05.10","O","Clay","€4,185,405","Round of 32","35","Nick Kyrgios","/en/players/nick-kyrgios/ke17/","L","762 675 6712","10","2","€27,460"
"313","ATP Masters 1000","ATP Masters 1000 Madrid","Madrid, Spain","2015.05.04 - 2015.05.10","O","Clay","€4,185,405","Round of 64",NA,"Bye",NA,"","","10","2","€27,460"
"314","ATP 250","Istanbul","Istanbul, Turkey","2015.04.27 - 2015.05.03","O","Clay","€439,405","Finals","23","Pablo Cuevas","/en/players/pablo-cuevas/c882/","W","63 7611","250","2","€80,000"
"315","ATP 250","Istanbul","Istanbul, Turkey","2015.04.27 - 2015.05.03","O","Clay","€439,405","Semi-Finals","63","Diego Schwartzman","/en/players/diego-schwartzman/sm37/","W","26 62 75","250","2","€80,000"
"316","ATP 250","Istanbul","Istanbul, Turkey","2015.04.27 - 2015.05.03","O","Clay","€439,405","Quarter-Finals","62","Daniel Gimeno-Traver","/en/players/daniel-gimeno-traver/g676/","W","763 675 63","250","2","€80,000"
"317","ATP 250","Istanbul","Istanbul, Turkey","2015.04.27 - 2015.05.03","O","Clay","€439,405","Round of 16","71","Jarkko Nieminen","/en/players/jarkko-nieminen/n289/","W","62 75","250","2","€80,000"
"318","ATP 250","Istanbul","Istanbul, Turkey","2015.04.27 - 2015.05.03","O","Clay","€439,405","Round of 32",NA,"Bye",NA,"","","250","2","€80,000"
"319","ATP Masters 1000","ATP Masters 1000 Monte Carlo","Monte-Carlo, Monaco","2015.04.13 - 2015.04.19","O","Clay","€3,288,530","Round of 16","18","Gael Monfils","/en/players/gael-monfils/mc65/","L","46 675","90","2","€40,930"
"320","ATP Masters 1000","ATP Masters 1000 Monte Carlo","Monte-Carlo, Monaco","2015.04.13 - 2015.04.19","O","Clay","€3,288,530","Round of 32","35","Jeremy Chardy","/en/players/jeremy-chardy/ca12/","W","62 61","90","2","€40,930"
"321","ATP Masters 1000","ATP Masters 1000 Monte Carlo","Monte-Carlo, Monaco","2015.04.13 - 2015.04.19","O","Clay","€3,288,530","Round of 64",NA,"Bye",NA,"","","90","2","€40,930"
"322","ATP Masters 1000","ATP Masters 1000 Indian Wells","Indian Wells, CA, U.S.A.","2015.03.09 - 2015.03.22","O","Hard","$5,381,235","Finals","1","Novak Djokovic","/en/players/novak-djokovic/d643/","L","36 765 26","600","2","$439,420"
"323","ATP Masters 1000","ATP Masters 1000 Indian Wells","Indian Wells, CA, U.S.A.","2015.03.09 - 2015.03.22","O","Hard","$5,381,235","Semi-Finals","6","Milos Raonic","/en/players/milos-raonic/r975/","W","75 64","600","2","$439,420"
"324","ATP Masters 1000","ATP Masters 1000 Indian Wells","Indian Wells, CA, U.S.A.","2015.03.09 - 2015.03.22","O","Hard","$5,381,235","Quarter-Finals","9","Tomas Berdych","/en/players/tomas-berdych/ba47/","W","64 60","600","2","$439,420"
"325","ATP Masters 1000","ATP Masters 1000 Indian Wells","Indian Wells, CA, U.S.A.","2015.03.09 - 2015.03.22","O","Hard","$5,381,235","Round of 16","58","Jack Sock","/en/players/jack-sock/sm25/","W","63 62","600","2","$439,420"
"326","ATP Masters 1000","ATP Masters 1000 Indian Wells","Indian Wells, CA, U.S.A.","2015.03.09 - 2015.03.22","O","Hard","$5,381,235","Round of 32","33","Andreas Seppi","/en/players/andreas-seppi/sa93/","W","63 64","600","2","$439,420"
"327","ATP Masters 1000","ATP Masters 1000 Indian Wells","Indian Wells, CA, U.S.A.","2015.03.09 - 2015.03.22","O","Hard","$5,381,235","Round of 64","63","Diego Schwartzman","/en/players/diego-schwartzman/sm37/","W","64 62","600","2","$439,420"
"328","ATP Masters 1000","ATP Masters 1000 Indian Wells","Indian Wells, CA, U.S.A.","2015.03.09 - 2015.03.22","O","Hard","$5,381,235","Round of 128",NA,"Bye",NA,"","","600","2","$439,420"
"329","ATP 500","Dubai","Dubai, U.A.E.","2015.02.23 - 2015.02.28","O","Hard","$2,082,605","Finals","1","Novak Djokovic","/en/players/novak-djokovic/d643/","W","63 75","500","2","$505,000"
"330","ATP 500","Dubai","Dubai, U.A.E.","2015.02.23 - 2015.02.28","O","Hard","$2,082,605","Semi-Finals","84","Borna Coric","/en/players/borna-coric/cg80/","W","62 61","500","2","$505,000"
"331","ATP 500","Dubai","Dubai, U.A.E.","2015.02.23 - 2015.02.28","O","Hard","$2,082,605","Quarter-Finals","27","Richard Gasquet","/en/players/richard-gasquet/g628/","W","61 (RET)","500","2","$505,000"
"332","ATP 500","Dubai","Dubai, U.A.E.","2015.02.23 - 2015.02.28","O","Hard","$2,082,605","Round of 16","31","Fernando Verdasco","/en/players/fernando-verdasco/v306/","W","64 63","500","2","$505,000"
"333","ATP 500","Dubai","Dubai, U.A.E.","2015.02.23 - 2015.02.28","O","Hard","$2,082,605","Round of 32","55","Mikhail Youzhny","/en/players/mikhail-youzhny/y061/","W","63 61","500","2","$505,000"
"334","Grand Slam","Australian Open","Melbourne, Australia","2015.01.19 - 2015.02.01","O","Hard","A$17,748,600","Round of 32","46","Andreas Seppi","/en/players/andreas-seppi/sa93/","L","46 675 64 675","90","2","A$97,500"
"335","Grand Slam","Australian Open","Melbourne, Australia","2015.01.19 - 2015.02.01","O","Hard","A$17,748,600","Round of 64","48","Simone Bolelli","/en/players/simone-bolelli/ba98/","W","36 63 62 62","90","2","A$97,500"
"336","Grand Slam","Australian Open","Melbourne, Australia","2015.01.19 - 2015.02.01","O","Hard","A$17,748,600","Round of 128","47","Yen-Hsun Lu","/en/players/yen-hsun-lu/l575/","W","64 62 75","90","2","A$97,500"
"337","ATP 250","Brisbane","Brisbane, Australia","2015.01.05 - 2015.01.11","O","Hard","$439,405","Finals","8","Milos Raonic","/en/players/milos-raonic/r975/","W","64 672 64","250","2","$80,000"
"338","ATP 250","Brisbane","Brisbane, Australia","2015.01.05 - 2015.01.11","O","Hard","$439,405","Semi-Finals","11","Grigor Dimitrov","/en/players/grigor-dimitrov/d875/","W","62 62","250","2","$80,000"
"339","ATP 250","Brisbane","Brisbane, Australia","2015.01.05 - 2015.01.11","O","Hard","$439,405","Quarter-Finals","125","James Duckworth","/en/players/james-duckworth/d994/","W","60 61","250","2","$80,000"
"340","ATP 250","Brisbane","Brisbane, Australia","2015.01.05 - 2015.01.11","O","Hard","$439,405","Round of 16","153","John Millman","/en/players/john-millman/mh30/","W","46 64 63","250","2","$80,000"
"341","ATP 250","Brisbane","Brisbane, Australia","2015.01.05 - 2015.01.11","O","Hard","$439,405","Round of 32",NA,"Bye",NA,"","","250","2","$80,000"
"342","ITF","FRA vs. SUI DC Final","Lille, France","2014.11.17 - 2014.11.23","I","Clay","","Round Robin","26","Richard Gasquet","/en/players/richard-gasquet/g628/","W","64 62 62","0","2","€0"
"343","ITF","FRA vs. SUI DC Final","Lille, France","2014.11.17 - 2014.11.23","I","Clay","","Round Robin","19","Gael Monfils","/en/players/gael-monfils/mc65/","L","16 46 36","0","2","€0"
"344","Nitto ATP Finals","ATP Finals","London, Great Britain","2014.11.10 - 2014.11.16","I","Hard","$6,500,000","Finals","1","Novak Djokovic","/en/players/novak-djokovic/d643/","L","(W/O)","1000","2","$1,095,000"
"345","Nitto ATP Finals","ATP Finals","London, Great Britain","2014.11.10 - 2014.11.16","I","Hard","$6,500,000","Semi-Finals","4","Stan Wawrinka","/en/players/stan-wawrinka/w367/","W","46 75 766","1000","2","$1,095,000"
"346","Nitto ATP Finals","ATP Finals","London, Great Britain","2014.11.10 - 2014.11.16","I","Hard","$6,500,000","Round Robin","6","Andy Murray","/en/players/andy-murray/mc10/","W","60 61","1000","2","$1,095,000"
"347","Nitto ATP Finals","ATP Finals","London, Great Britain","2014.11.10 - 2014.11.16","I","Hard","$6,500,000","Round Robin","5","Kei Nishikori","/en/players/kei-nishikori/n552/","W","63 62","1000","2","$1,095,000"
"348","Nitto ATP Finals","ATP Finals","London, Great Britain","2014.11.10 - 2014.11.16","I","Hard","$6,500,000","Round Robin","8","Milos Raonic","/en/players/milos-raonic/r975/","W","61 76","1000","2","$1,095,000"
"349","ATP Masters 1000","ATP Masters 1000 Paris","Paris, France","2014.10.27 - 2014.11.02","I","Hard","€2,884,675","Quarter-Finals","10","Milos Raonic","/en/players/milos-raonic/r975/","L","675 57","180","2","€71,700"
"350","ATP Masters 1000","ATP Masters 1000 Paris","Paris, France","2014.10.27 - 2014.11.02","I","Hard","€2,884,675","Round of 16","176","Lucas Pouille","/en/players/lucas-pouille/pf39/","W","64 64","180","2","€71,700"
"351","ATP Masters 1000","ATP Masters 1000 Paris","Paris, France","2014.10.27 - 2014.11.02","I","Hard","€2,884,675","Round of 32","30","Jeremy Chardy","/en/players/jeremy-chardy/ca12/","W","765 675 64","180","2","€71,700"
"352","ATP Masters 1000","ATP Masters 1000 Paris","Paris, France","2014.10.27 - 2014.11.02","I","Hard","€2,884,675","Round of 64",NA,"Bye",NA,"","","180","2","€71,700"
"353","ATP 500","Basel","Basel, Switzerland","2014.10.20 - 2014.10.26","I","Hard","€1,458,610","Finals","28","David Goffin","/en/players/david-goffin/gb88/","W","62 62","500","2","€352,355"
"354","ATP 500","Basel","Basel, Switzerland","2014.10.20 - 2014.10.26","I","Hard","€1,458,610","Semi-Finals","31","Ivo Karlovic","/en/players/ivo-karlovic/k336/","W","768 36 63","500","2","€352,355"
"355","ATP 500","Basel","Basel, Switzerland","2014.10.20 - 2014.10.26","I","Hard","€1,458,610","Quarter-Finals","11","Grigor Dimitrov","/en/players/grigor-dimitrov/d875/","W","764 62","500","2","€352,355"
"356","ATP 500","Basel","Basel, Switzerland","2014.10.20 - 2014.10.26","I","Hard","€1,458,610","Round of 16","55","Denis Istomin","/en/players/denis-istomin/i165/","W","36 63 64","500","2","€352,355"
"357","ATP 500","Basel","Basel, Switzerland","2014.10.20 - 2014.10.26","I","Hard","€1,458,610","Round of 32","51","Gilles Muller","/en/players/gilles-muller/ma30/","W","62 61","500","2","€352,355"
"358","ATP Masters 1000","ATP Masters 1000 Shanghai","Shanghai, China","2014.10.06 - 2014.10.12","O","Hard","$4,195,895","Finals","29","Gilles Simon","/en/players/gilles-simon/sd32/","W","766 762","1000","3","$798,540"
"359","ATP Masters 1000","ATP Masters 1000 Shanghai","Shanghai, China","2014.10.06 - 2014.10.12","O","Hard","$4,195,895","Semi-Finals","1","Novak Djokovic","/en/players/novak-djokovic/d643/","W","64 64","1000","3","$798,540"
"360","ATP Masters 1000","ATP Masters 1000 Shanghai","Shanghai, China","2014.10.06 - 2014.10.12","O","Hard","$4,195,895","Quarter-Finals","30","Julien Benneteau","/en/players/julien-benneteau/b747/","W","764 60","1000","3","$798,540"
"361","ATP Masters 1000","ATP Masters 1000 Shanghai","Shanghai, China","2014.10.06 - 2014.10.12","O","Hard","$4,195,895","Round of 16","18","Roberto Bautista Agut","/en/players/roberto-bautista-agut/bd06/","W","64 62","1000","3","$798,540"
"362","ATP Masters 1000","ATP Masters 1000 Shanghai","Shanghai, China","2014.10.06 - 2014.10.12","O","Hard","$4,195,895","Round of 32","25","Leonardo Mayer","/en/players/leonardo-mayer/md56/","W","75 36 767","1000","3","$798,540"
"363","ATP Masters 1000","ATP Masters 1000 Shanghai","Shanghai, China","2014.10.06 - 2014.10.12","O","Hard","$4,195,895","Round of 64",NA,"Bye",NA,"","","1000","3","$798,540"
"364","ITF","SUI vs. ITA WG SF","Geneva, Switzerland, Switzerland","2014.09.08 - 2014.09.14","I","Hard","","Round Robin","17","Fabio Fognini","/en/players/fabio-fognini/f510/","W","62 63 764","0","3","$0"
"365","ITF","SUI vs. ITA WG SF","Geneva, Switzerland, Switzerland","2014.09.08 - 2014.09.14","I","Hard","","Round Robin","76","Simone Bolelli","/en/players/simone-bolelli/ba98/","W","765 64 64","0","3","$0"
"366","Grand Slam","US Open","New York City, NY, U.S.A.","2014.08.25 - 2014.09.08","O","Hard","$17,851,868","Semi-Finals","16","Marin Cilic","/en/players/marin-cilic/c977/","L","36 46 46","720","3","$792,500"
"367","Grand Slam","US Open","New York City, NY, U.S.A.","2014.08.25 - 2014.09.08","O","Hard","$17,851,868","Quarter-Finals","24","Gael Monfils","/en/players/gael-monfils/mc65/","W","46 36 64 75 62","720","3","$792,500"
"368","Grand Slam","US Open","New York City, NY, U.S.A.","2014.08.25 - 2014.09.08","O","Hard","$17,851,868","Round of 16","19","Roberto Bautista Agut","/en/players/roberto-bautista-agut/bd06/","W","64 63 62","720","3","$792,500"
"369","Grand Slam","US Open","New York City, NY, U.S.A.","2014.08.25 - 2014.09.08","O","Hard","$17,851,868","Round of 32","42","Marcel Granollers","/en/players/marcel-granollers/g710/","W","46 61 61 61","720","3","$792,500"
"370","Grand Slam","US Open","New York City, NY, U.S.A.","2014.08.25 - 2014.09.08","O","Hard","$17,851,868","Round of 64","104","Sam Groth","/en/players/sam-groth/g940/","W","64 64 64","720","3","$792,500"
"371","Grand Slam","US Open","New York City, NY, U.S.A.","2014.08.25 - 2014.09.08","O","Hard","$17,851,868","Round of 128","76","Marinko Matosevic","/en/players/marinko-matosevic/me05/","W","63 64 764","720","3","$792,500"
"372","ATP Masters 1000","ATP Masters 1000 Cincinnati","Cincinnati, OH, U.S.A.","2014.08.11 - 2014.08.17","O","Hard","$3,356,715","Finals","6","David Ferrer","/en/players/david-ferrer/f401/","W","63 16 62","1000","3","$638,850"
"373","ATP Masters 1000","ATP Masters 1000 Cincinnati","Cincinnati, OH, U.S.A.","2014.08.11 - 2014.08.17","O","Hard","$3,356,715","Semi-Finals","7","Milos Raonic","/en/players/milos-raonic/r975/","W","62 63","1000","3","$638,850"
"374","ATP Masters 1000","ATP Masters 1000 Cincinnati","Cincinnati, OH, U.S.A.","2014.08.11 - 2014.08.17","O","Hard","$3,356,715","Quarter-Finals","9","Andy Murray","/en/players/andy-murray/mc10/","W","63 75","1000","3","$638,850"
"375","ATP Masters 1000","ATP Masters 1000 Cincinnati","Cincinnati, OH, U.S.A.","2014.08.11 - 2014.08.17","O","Hard","$3,356,715","Round of 16","23","Gael Monfils","/en/players/gael-monfils/mc65/","W","64 46 63","1000","3","$638,850"
"376","ATP Masters 1000","ATP Masters 1000 Cincinnati","Cincinnati, OH, U.S.A.","2014.08.11 - 2014.08.17","O","Hard","$3,356,715","Round of 32","46","Vasek Pospisil","/en/players/vasek-pospisil/pd07/","W","764 57 62","1000","3","$638,850"
"377","ATP Masters 1000","ATP Masters 1000 Cincinnati","Cincinnati, OH, U.S.A.","2014.08.11 - 2014.08.17","O","Hard","$3,356,715","Round of 64",NA,"Bye",NA,"","","1000","3","$638,850"
"378","ATP Masters 1000","ATP Masters 1000 Canada","Toronto, Canada","2014.08.04 - 2014.08.10","O","Hard","$3,146,920","Finals","15","Jo-Wilfried Tsonga","/en/players/jo-wilfried-tsonga/t786/","L","57 673","600","3","$293,650"
"379","ATP Masters 1000","ATP Masters 1000 Canada","Toronto, Canada","2014.08.04 - 2014.08.10","O","Hard","$3,146,920","Semi-Finals","25","Feliciano Lopez","/en/players/feliciano-lopez/l397/","W","63 64","600","3","$293,650"
"380","ATP Masters 1000","ATP Masters 1000 Canada","Toronto, Canada","2014.08.04 - 2014.08.10","O","Hard","$3,146,920","Quarter-Finals","7","David Ferrer","/en/players/david-ferrer/f401/","W","63 46 63","600","3","$293,650"
"381","ATP Masters 1000","ATP Masters 1000 Canada","Toronto, Canada","2014.08.04 - 2014.08.10","O","Hard","$3,146,920","Round of 16","18","Marin Cilic","/en/players/marin-cilic/c977/","W","765 673 64","600","3","$293,650"
"382","ATP Masters 1000","ATP Masters 1000 Canada","Toronto, Canada","2014.08.04 - 2014.08.10","O","Hard","$3,146,920","Round of 32","129","Peter Polansky","/en/players/peter-polansky/pb22/","W","62 60","600","3","$293,650"
"383","ATP Masters 1000","ATP Masters 1000 Canada","Toronto, Canada","2014.08.04 - 2014.08.10","O","Hard","$3,146,920","Round of 64",NA,"Bye",NA,"","","600","3","$293,650"
"384","Grand Slam","Wimbledon","London, Great Britain","2014.06.23 - 2014.07.06","O","Grass","£11,715,000","Finals","2","Novak Djokovic","/en/players/novak-djokovic/d643/","L","767 46 674 75 46","1200","4","£880,000"
"385","Grand Slam","Wimbledon","London, Great Britain","2014.06.23 - 2014.07.06","O","Grass","£11,715,000","Semi-Finals","9","Milos Raonic","/en/players/milos-raonic/r975/","W","64 64 64","1200","4","£880,000"
"386","Grand Slam","Wimbledon","London, Great Britain","2014.06.23 - 2014.07.06","O","Grass","£11,715,000","Quarter-Finals","3","Stan Wawrinka","/en/players/stan-wawrinka/w367/","W","36 765 64 64","1200","4","£880,000"
"387","Grand Slam","Wimbledon","London, Great Britain","2014.06.23 - 2014.07.06","O","Grass","£11,715,000","Round of 16","22","Tommy Robredo","/en/players/tommy-robredo/r419/","W","61 64 64","1200","4","£880,000"
"388","Grand Slam","Wimbledon","London, Great Britain","2014.06.23 - 2014.07.06","O","Grass","£11,715,000","Round of 32","35","Santiago Giraldo","/en/players/santiago-giraldo/g725/","W","63 61 63","1200","4","£880,000"
"389","Grand Slam","Wimbledon","London, Great Britain","2014.06.23 - 2014.07.06","O","Grass","£11,715,000","Round of 64","103","Gilles Muller","/en/players/gilles-muller/ma30/","W","63 75 63","1200","4","£880,000"
"390","Grand Slam","Wimbledon","London, Great Britain","2014.06.23 - 2014.07.06","O","Grass","£11,715,000","Round of 128","83","Paolo Lorenzi","/en/players/paolo-lorenzi/l503/","W","61 61 63","1200","4","£880,000"
"391","ATP 250","Halle","Halle, Germany","2014.06.09 - 2014.06.15","O","Grass","€711,010","Finals","69","Alejandro Falla","/en/players/alejandro-falla/f444/","W","762 763","250","4","€128,860"
"392","ATP 250","Halle","Halle, Germany","2014.06.09 - 2014.06.15","O","Grass","€711,010","Semi-Finals","12","Kei Nishikori","/en/players/kei-nishikori/n552/","W","63 764","250","4","€128,860"
"393","ATP 250","Halle","Halle, Germany","2014.06.09 - 2014.06.15","O","Grass","€711,010","Quarter-Finals","48","Yen-Hsun Lu","/en/players/yen-hsun-lu/l575/","W","(W/O)","250","4","€128,860"
"394","ATP 250","Halle","Halle, Germany","2014.06.09 - 2014.06.15","O","Grass","€711,010","Round of 16","47","Joao Sousa","/en/players/joao-sousa/sh90/","W","678 64 62","250","4","€128,860"
"395","ATP 250","Halle","Halle, Germany","2014.06.09 - 2014.06.15","O","Grass","€711,010","Round of 32",NA,"Bye",NA,"","","250","4","€128,860"
"396","Grand Slam","Roland Garros","Paris, France","2014.05.26 - 2014.06.08","O","Clay","€11,552,000","Round of 16","17","Ernests Gulbis","/en/players/ernests-gulbis/g858/","L","765 673 26 64 36","180","4","€125,000"
"397","Grand Slam","Roland Garros","Paris, France","2014.05.26 - 2014.06.08","O","Clay","€11,552,000","Round of 32","32","Dmitry Tursunov","/en/players/dmitry-tursunov/t315/","W","75 677 62 64","180","4","€125,000"
"398","Grand Slam","Roland Garros","Paris, France","2014.05.26 - 2014.06.08","O","Clay","€11,552,000","Round of 64","109","Diego Schwartzman","/en/players/diego-schwartzman/sm37/","W","63 64 64","180","4","€125,000"
"399","Grand Slam","Roland Garros","Paris, France","2014.05.26 - 2014.06.08","O","Clay","€11,552,000","Round of 128","87","Lukas Lacko","/en/players/lukas-lacko/l797/","W","62 64 62","180","4","€125,000"
"400","ATP Masters 1000","ATP Masters 1000 Rome","Rome, Italy","2014.05.12 - 2014.05.18","O","Clay","€2,884,675","Round of 32","47","Jeremy Chardy","/en/players/jeremy-chardy/ca12/","L","61 36 676","10","4","€18,860"
"401","ATP Masters 1000","ATP Masters 1000 Rome","Rome, Italy","2014.05.12 - 2014.05.18","O","Clay","€2,884,675","Round of 64",NA,"Bye",NA,"","","10","4","€18,860"
"402","ATP Masters 1000","ATP Masters 1000 Monte Carlo","Monte Carlo, Monaco","2014.04.14 - 2014.04.20","O","Clay","€2,884,675","Finals","3","Stan Wawrinka","/en/players/stan-wawrinka/w367/","L","64 675 26","600","4","€269,150"
"403","ATP Masters 1000","ATP Masters 1000 Monte Carlo","Monte Carlo, Monaco","2014.04.14 - 2014.04.20","O","Clay","€2,884,675","Semi-Finals","2","Novak Djokovic","/en/players/novak-djokovic/d643/","W","75 62","600","4","€269,150"
"404","ATP Masters 1000","ATP Masters 1000 Monte Carlo","Monte Carlo, Monaco","2014.04.14 - 2014.04.20","O","Clay","€2,884,675","Quarter-Finals","12","Jo-Wilfried Tsonga","/en/players/jo-wilfried-tsonga/t786/","W","26 766 61","600","4","€269,150"
"405","ATP Masters 1000","ATP Masters 1000 Monte Carlo","Monte Carlo, Monaco","2014.04.14 - 2014.04.20","O","Clay","€2,884,675","Round of 16","47","Lukas Rosol","/en/players/lukas-rosol/r685/","W","64 61","600","4","€269,150"
"406","ATP Masters 1000","ATP Masters 1000 Monte Carlo","Monte Carlo, Monaco","2014.04.14 - 2014.04.20","O","Clay","€2,884,675","Round of 32","41","Radek Stepanek","/en/players/radek-stepanek/s694/","W","61 62","600","4","€269,150"
"407","ATP Masters 1000","ATP Masters 1000 Monte Carlo","Monte Carlo, Monaco","2014.04.14 - 2014.04.20","O","Clay","€2,884,675","Round of 64",NA,"Bye",NA,"","","600","4","€269,150"
"408","ITF","SUI vs. KAZ WG QF","Geneva, Switzerland","2014.03.31 - 2014.04.06","I","Hard","","Round Robin","64","Andrey Golubev","/en/players/andrey-golubev/g806/","W","76 62 63","0","4","$0"
"409","ITF","SUI vs. KAZ WG QF","Geneva, Switzerland","2014.03.31 - 2014.04.06","I","Hard","","Round Robin","56","Mikhail Kukushkin","/en/players/mikhail-kukushkin/k926/","W","64 64 62","0","4","$0"
"410","ATP Masters 1000","ATP Masters 1000 Miami","Miami, FL, U.S.A.","2014.03.17 - 2014.03.30","O","Hard","$4,720,380","Quarter-Finals","21","Kei Nishikori","/en/players/kei-nishikori/n552/","L","63 57 46","180","5","$98,130"
"411","ATP Masters 1000","ATP Masters 1000 Miami","Miami, FL, U.S.A.","2014.03.17 - 2014.03.30","O","Hard","$4,720,380","Round of 16","9","Richard Gasquet","/en/players/richard-gasquet/g628/","W","61 62","180","5","$98,130"
"412","ATP Masters 1000","ATP Masters 1000 Miami","Miami, FL, U.S.A.","2014.03.17 - 2014.03.30","O","Hard","$4,720,380","Round of 32","162","Thiemo de Bakker","/en/players/thiemo-de-bakker/d776/","W","63 63","180","5","$98,130"
"413","ATP Masters 1000","ATP Masters 1000 Miami","Miami, FL, U.S.A.","2014.03.17 - 2014.03.30","O","Hard","$4,720,380","Round of 64","53","Ivo Karlovic","/en/players/ivo-karlovic/k336/","W","64 764","180","5","$98,130"
"414","ATP Masters 1000","ATP Masters 1000 Miami","Miami, FL, U.S.A.","2014.03.17 - 2014.03.30","O","Hard","$4,720,380","Round of 128",NA,"Bye",NA,"","","180","5","$98,130"
"415","ATP Masters 1000","ATP Masters 1000 Indian Wells","Indian Wells, CA, U.S.A.","2014.03.03 - 2014.03.16","O","Hard","$5,240,015","Finals","2","Novak Djokovic","/en/players/novak-djokovic/d643/","L","63 36 673","600","8","$500,000"
"416","ATP Masters 1000","ATP Masters 1000 Indian Wells","Indian Wells, CA, U.S.A.","2014.03.03 - 2014.03.16","O","Hard","$5,240,015","Semi-Finals","31","Alexandr Dolgopolov","/en/players/alexandr-dolgopolov/d801/","W","63 61","600","8","$500,000"
"417","ATP Masters 1000","ATP Masters 1000 Indian Wells","Indian Wells, CA, U.S.A.","2014.03.03 - 2014.03.16","O","Hard","$5,240,015","Quarter-Finals","18","Kevin Anderson","/en/players/kevin-anderson/a678/","W","75 61","600","8","$500,000"
"418","ATP Masters 1000","ATP Masters 1000 Indian Wells","Indian Wells, CA, U.S.A.","2014.03.03 - 2014.03.16","O","Hard","$5,240,015","Round of 16","12","Tommy Haas","/en/players/tommy-haas/h355/","W","64 64","600","8","$500,000"
"419","ATP Masters 1000","ATP Masters 1000 Indian Wells","Indian Wells, CA, U.S.A.","2014.03.03 - 2014.03.16","O","Hard","$5,240,015","Round of 32","30","Dmitry Tursunov","/en/players/dmitry-tursunov/t315/","W","767 762","600","8","$500,000"
"420","ATP Masters 1000","ATP Masters 1000 Indian Wells","Indian Wells, CA, U.S.A.","2014.03.03 - 2014.03.16","O","Hard","$5,240,015","Round of 64","123","Paul-Henri Mathieu","/en/players/paul-henri-mathieu/m850/","W","62 765","600","8","$500,000"
"421","ATP Masters 1000","ATP Masters 1000 Indian Wells","Indian Wells, CA, U.S.A.","2014.03.03 - 2014.03.16","O","Hard","$5,240,015","Round of 128",NA,"Bye",NA,"","","600","8","$500,000"
"422","ATP 500","Dubai","Dubai, U.A.E.","2014.02.24 - 2014.03.01","O","Hard","$1,928,340","Finals","6","Tomas Berdych","/en/players/tomas-berdych/ba47/","W","36 64 63","500","8","$465,830"
"423","ATP 500","Dubai","Dubai, U.A.E.","2014.02.24 - 2014.03.01","O","Hard","$1,928,340","Semi-Finals","2","Novak Djokovic","/en/players/novak-djokovic/d643/","W","36 63 62","500","8","$465,830"
"424","ATP 500","Dubai","Dubai, U.A.E.","2014.02.24 - 2014.03.01","O","Hard","$1,928,340","Quarter-Finals","49","Lukas Rosol","/en/players/lukas-rosol/r685/","W","62 62","500","8","$465,830"
"425","ATP 500","Dubai","Dubai, U.A.E.","2014.02.24 - 2014.03.01","O","Hard","$1,928,340","Round of 16","48","Radek Stepanek","/en/players/radek-stepanek/s694/","W","62 674 63","500","8","$465,830"
"426","ATP 500","Dubai","Dubai, U.A.E.","2014.02.24 - 2014.03.01","O","Hard","$1,928,340","Round of 32","90","Benjamin Becker","/en/players/benjamin-becker/b896/","W","61 64","500","8","$465,830"
"427","ITF","SRB vs. SUI WG 1st Rd.","Novi Sad, Serbia","2014.01.27 - 2014.02.02","I","Hard","","Round Robin","268","Ilija Bozoljac","/en/players/ilija-bozoljac/ba57/","W","64 75 62","0","8","€0"
"428","Grand Slam","Australian Open","Melbourne, Australia","2014.01.13 - 2014.01.26","O","Hard","A$14,982,200","Semi-Finals","1","Rafael Nadal","/en/players/rafael-nadal/n409/","L","674 36 36","720","6","A$540,000"
"429","Grand Slam","Australian Open","Melbourne, Australia","2014.01.13 - 2014.01.26","O","Hard","A$14,982,200","Quarter-Finals","4","Andy Murray","/en/players/andy-murray/mc10/","W","63 64 676 63","720","6","A$540,000"
"430","Grand Slam","Australian Open","Melbourne, Australia","2014.01.13 - 2014.01.26","O","Hard","A$14,982,200","Round of 16","10","Jo-Wilfried Tsonga","/en/players/jo-wilfried-tsonga/t786/","W","63 75 64","720","6","A$540,000"
"431","Grand Slam","Australian Open","Melbourne, Australia","2014.01.13 - 2014.01.26","O","Hard","A$14,982,200","Round of 32","79","Teymuraz Gabashvili","/en/players/teymuraz-gabashvili/g681/","W","62 62 63","720","6","A$540,000"
"432","Grand Slam","Australian Open","Melbourne, Australia","2014.01.13 - 2014.01.26","O","Hard","A$14,982,200","Round of 64","99","Blaz Kavcic","/en/players/blaz-kavcic/k834/","W","62 61 764","720","6","A$540,000"
"433","Grand Slam","Australian Open","Melbourne, Australia","2014.01.13 - 2014.01.26","O","Hard","A$14,982,200","Round of 128","133","James Duckworth","/en/players/james-duckworth/d994/","W","64 64 62","720","6","A$540,000"
