name	link	active	country	birthday	turnedPro	weight	height	lefty	oneHandedBackhand
"Petr Nouza"	"/en/players/petr-nouza/n974/"	TRUE	"CZE"	"1998.09.09"	NA	"90kg"	"193cm"	"Right-Handed"	"Two-Handed Backhand"
"Davide Albertoni"	"/en/players/davide-albertoni/af71/"	FALSE	"ITA"	"1996.02.01"	NA	NA	NA	"Right-Handed"	"Two-Handed Backhand"
"Isaiah Strode"	"/en/players/isaiah-strode/sx77/"	TRUE	"USA"	"1997.09.15"	NA	"75kg"	"183cm"	"Right-Handed"	"Two-Handed Backhand"
"Kent Tagashira"	"/en/players/kent-tagashira/te43/"	FALSE	"JPN"	"1993.09.20"	NA	"84kg"	"191cm"	"Right-Handed"	"One-Handed Backhand"
"Linh Giang Trinh"	"/en/players/linh-giang-trinh/t0ab/"	TRUE	"VIE"	"1997.08.03"	NA	"70kg"	"183cm"	"Right-Handed"	"Two-Handed Backhand"
"Leonard Von Hindte"	"/en/players/leonard-von-hindte/v09f/"	FALSE	"GER"	"1994.04.28"	NA	"78kg"	"185cm"	"Right-Handed"	"Two-Handed Backhand"
"Tommaso Gabrieli"	"/en/players/tommaso-gabrieli/ge99/"	FALSE	"ITA"	"1993.06.20"	NA	NA	NA	NA	NA
"William Blumberg"	"/en/players/william-blumberg/bt45/"	TRUE	"USA"	"1998.01.26"	"2021"	"86kg"	"188cm"	"Right-Handed"	"Two-Handed Backhand"
"Thiago Seyboth Wild"	"/en/players/thiago-seyboth-wild/sx91/"	TRUE	"BRA"	"2000.03.10"	"2018"	"80kg"	"185cm"	"Right-Handed"	"Two-Handed Backhand"
"J.J. Wolf"	"/en/players/j.j.-wolf/w09g/"	TRUE	"USA"	"1998.12.21"	"2019"	"77kg"	"183cm"	"Right-Handed"	"Two-Handed Backhand"
"Ryan James Storrie"	"/en/players/ryan-james-storrie/sy31/"	TRUE	"GBR"	"1998.02.28"	NA	NA	NA	"Right-Handed"	"Two-Handed Backhand"
"Giovanni Fonio"	"/en/players/giovanni-fonio/fc49/"	TRUE	"ITA"	"1998.05.07"	NA	"80kg"	"183cm"	"Right-Handed"	"One-Handed Backhand"
"Patrik Rikl"	"/en/players/patrik-rikl/rh13/"	TRUE	"CZE"	"1999.01.06"	NA	"80kg"	"185cm"	"Right-Handed"	"Two-Handed Backhand"
"Jeffrey Schorsch"	"/en/players/jeffrey-schorsch/s0ct/"	FALSE	"USA"	"1995.02.11"	NA	"79kg"	"188cm"	"Left-Handed"	"Two-Handed Backhand"
"Trevor Allen Johnson"	"/en/players/trevor-allen-johnson/j647/"	FALSE	"USA"	"1995.12.27"	NA	"84kg"	"188cm"	"Right-Handed"	"Two-Handed Backhand"
"Brandon Holt"	"/en/players/brandon-holt/h09p/"	TRUE	"USA"	"1998.04.06"	"2020"	"82kg"	"185cm"	"Right-Handed"	"Two-Handed Backhand"
"Ryan Nijboer"	"/en/players/ryan-nijboer/n0b4/"	TRUE	"NED"	"1999.07.28"	NA	"77kg"	"180cm"	"Right-Handed"	"Two-Handed Backhand"
"Finn Bass"	"/en/players/finn-bass/bu78/"	TRUE	"GBR"	"1999.10.09"	NA	"80kg"	"180cm"	"Right-Handed"	"Two-Handed Backhand"
"Michael Vrbensky"	"/en/players/michael-vrbensky/v0b2/"	TRUE	"CZE"	"1999.12.26"	NA	NA	NA	"Right-Handed"	"Two-Handed Backhand"
"Jacob Dunbar"	"/en/players/jacob-dunbar/dg86/"	FALSE	"USA"	"1995.10.02"	NA	"73kg"	"183cm"	"Right-Handed"	"Two-Handed Backhand"
"Gabi Adrian Boitan"	"/en/players/gabi-adrian-boitan/b0c0/"	TRUE	"ROU"	"1999.07.11"	NA	"82kg"	"185cm"	"Right-Handed"	"Two-Handed Backhand"
"Tyler Lu"	"/en/players/tyler-lu/l0aq/"	FALSE	"USA"	"1995.08.12"	NA	"68kg"	"173cm"	"Right-Handed"	"Unknown Backhand"
"Hugo Largo"	"/en/players/hugo-largo/lg88/"	FALSE	"ESP"	"1997.07.23"	NA	"83kg"	"188cm"	"Right-Handed"	"One-Handed Backhand"
"Bart Van Den Berg"	"/en/players/bart-van-den-berg/va72/"	FALSE	"NED"	"1993.07.25"	NA	"93kg"	NA	"Right-Handed"	"Two-Handed Backhand"
"Joao Lucas Reis Da Silva"	"/en/players/joao-lucas-reis-da-silva/r0a7/"	TRUE	"BRA"	"2000.03.26"	NA	"75kg"	"178cm"	"Right-Handed"	"Two-Handed Backhand"
"Jakub Paul"	"/en/players/jakub-paul/p0d0/"	TRUE	"SUI"	"1999.03.22"	NA	"73kg"	"180cm"	"Right-Handed"	"Two-Handed Backhand"
"Nico Mertens"	"/en/players/nico-mertens/mv86/"	FALSE	"GER"	"1994.04.04"	NA	NA	NA	NA	NA
"Nikolas Sanchez Izquierdo"	"/en/players/nikolas-sanchez-izquierdo/s0gz/"	TRUE	"ESP"	"1999.03.15"	NA	"77kg"	"185cm"	"Right-Handed"	"Two-Handed Backhand"
"Skyler Butts"	"/en/players/skyler-butts/bu24/"	FALSE	"HKG"	"1993.09.18"	NA	"79kg"	"178cm"	"Right-Handed"	"Unknown Backhand"
"Luis Faria"	"/en/players/luis-faria/fc42/"	FALSE	"POR"	"1999.07.18"	NA	"70kg"	"178cm"	"Right-Handed"	"Two-Handed Backhand"
"Koray Kirci"	"/en/players/koray-kirci/ki91/"	TRUE	"TUR"	"1998.08.17"	NA	"75kg"	"185cm"	"Right-Handed"	"Two-Handed Backhand"
"Federico Iannaccone"	"/en/players/federico-iannaccone/i09n/"	TRUE	"ITA"	"1999.03.26"	NA	"73kg"	"183cm"	"Right-Handed"	"Two-Handed Backhand"
"Riley Smith"	"/en/players/riley-smith/sy62/"	FALSE	"USA"	"1997.06.05"	NA	NA	NA	NA	NA
"Antoine Cornut-Chauvinc"	"/en/players/antoine-cornut-chauvinc/c0az/"	TRUE	"FRA"	"2000.07.07"	NA	"83kg"	"188cm"	"Right-Handed"	"Two-Handed Backhand"
"Constantin Bittoun Kouzmine"	"/en/players/constantin-bittoun-kouzmine/bu53/"	TRUE	"FRA"	"1999.01.04"	"2018"	"73kg"	"178cm"	"Left-Handed"	"Two-Handed Backhand"
"Colin Sinclair"	"/en/players/colin-sinclair/sq79/"	TRUE	"NMI"	"1994.12.19"	NA	"82kg"	"188cm"	"Right-Handed"	"Two-Handed Backhand"
"Amaury Delmas"	"/en/players/amaury-delmas/d0aq/"	FALSE	"FRA"	"1998.04.01"	NA	NA	NA	NA	NA
"Alberto Colas Sanchez"	"/en/players/alberto-colas-sanchez/c0db/"	FALSE	"ESP"	"2000.05.19"	NA	NA	NA	NA	NA
"Govind Nanda"	"/en/players/govind-nanda/n0al/"	TRUE	"USA"	"2001.02.17"	NA	"70kg"	"178cm"	"Right-Handed"	"Two-Handed Backhand"
"Clement Tabur"	"/en/players/clement-tabur/t09x/"	TRUE	"FRA"	"2000.01.24"	NA	"73kg"	"173cm"	"Right-Handed"	"Two-Handed Backhand"
"Damien Bayard"	"/en/players/damien-bayard/bp55/"	FALSE	"FRA"	"1996.02.29"	NA	NA	NA	NA	NA
"Jonas Eriksson Ziverts"	"/en/players/jonas-eriksson-ziverts/e09h/"	TRUE	"SWE"	"1999.01.08"	NA	"75kg"	"185cm"	"Right-Handed"	"Two-Handed Backhand"
"Jack Murray"	"/en/players/jack-murray/mv57/"	FALSE	"USA"	"1995.08.01"	NA	"75kg"	"178cm"	"Right-Handed"	"Two-Handed Backhand"
"Giovanni Oradini"	"/en/players/giovanni-oradini/o639/"	TRUE	"ITA"	"1997.09.14"	NA	"85kg"	"188cm"	"Left-Handed"	"Unknown Backhand"
"Santiago Besada"	"/en/players/santiago-besada/b09z/"	FALSE	"ARG"	"1998.04.06"	NA	NA	NA	NA	NA
"Lorenzo Gagliardo"	"/en/players/lorenzo-gagliardo/g0d4/"	TRUE	"ARG"	"2000.06.27"	NA	"70kg"	"175cm"	"Right-Handed"	"Two-Handed Backhand"
"Jody Maginley"	"/en/players/jody-maginley/mw83/"	TRUE	"ANT"	"1995.06.07"	NA	"88kg"	"193cm"	"Right-Handed"	"Two-Handed Backhand"
"Josh Hagar"	"/en/players/josh-hagar/hg89/"	FALSE	"USA"	"1994.02.23"	NA	"66kg"	"173cm"	"Right-Handed"	"Two-Handed Backhand"
"Jaimee Floyd Angele"	"/en/players/jaimee-floyd-angele/a0b6/"	TRUE	"FRA"	"2000.03.27"	NA	"93kg"	"206cm"	"Right-Handed"	"Two-Handed Backhand"
"Lukas Greif"	"/en/players/lukas-greif/g0c8/"	FALSE	"USA"	"1999.12.02"	NA	NA	NA	NA	NA
"Juan Pablo Grassi Mazzuchi"	"/en/players/juan-pablo-grassi-mazzuchi/g0ch/"	FALSE	"ARG"	"1999.08.28"	NA	"73kg"	"183cm"	"Left-Handed"	"Two-Handed Backhand"
"Alen Rogic-Hadzalic"	"/en/players/alen-rogic-hadzalic/r09d/"	TRUE	"CRO"	"1997.04.21"	NA	NA	NA	NA	NA
"Nicolas Uryson"	"/en/players/nicolas-uryson/u09h/"	FALSE	"ARG"	"1993.06.22"	NA	"80kg"	"178cm"	"Right-Handed"	"Two-Handed Backhand"
"Arthur Weber"	"/en/players/arthur-weber/w0a4/"	TRUE	"FRA"	"1992.05.09"	NA	"77kg"	"185cm"	"Left-Handed"	"Two-Handed Backhand"
"Lance-Pierre Du Toit"	"/en/players/lance-pierre-du-toit/d0a1/"	FALSE	"RSA"	"1999.01.15"	NA	"73kg"	"175cm"	"Right-Handed"	"One-Handed Backhand"
"Thomas Colautti"	"/en/players/thomas-colautti/cn40/"	FALSE	"GBR"	"1995.02.03"	NA	NA	NA	"Right-Handed"	"Two-Handed Backhand"
"Daniel Rodrigues"	"/en/players/daniel-rodrigues/r0ar/"	TRUE	"POR"	"2000.02.11"	NA	"81kg"	"183cm"	"Right-Handed"	"Two-Handed Backhand"
"Ivan Marrero Curbelo"	"/en/players/ivan-marrero-curbelo/m09m/"	TRUE	"ESP"	"1998.09.27"	NA	"77kg"	"180cm"	"Right-Handed"	"Two-Handed Backhand"
"Cengiz Aksu"	"/en/players/cengiz-aksu/a0an/"	TRUE	"TUR"	"1998.07.30"	NA	"74kg"	"183cm"	"Right-Handed"	"Two-Handed Backhand"
"Carlos De La Pena"	"/en/players/carlos-de-la-pena/d527/"	FALSE	"MEX"	NA	NA	NA	NA	NA	NA
"Jesse Timmermans"	"/en/players/jesse-timmermans/tg91/"	FALSE	"NED"	"1989.03.17"	NA	NA	NA	NA	NA
"Mark Chigaazira"	"/en/players/mark-chigaazira/c0co/"	FALSE	"ZIM"	"1998.04.29"	NA	NA	NA	"Right-Handed"	"Two-Handed Backhand"
"M Rifki Fitriadi"	"/en/players/m-rifki-fitriadi/m0d4/"	TRUE	"INA"	"1999.01.23"	NA	NA	NA	NA	NA
"Shinji Hazawa"	"/en/players/shinji-hazawa/h0ba/"	TRUE	"JPN"	"1999.04.12"	NA	"73kg"	"175cm"	"Right-Handed"	"Two-Handed Backhand"
"Juan Martin"	"/en/players/juan-martin/m0ar/"	FALSE	"ARG"	"1998.03.18"	NA	NA	NA	NA	NA
"Kaito Itsusaki"	"/en/players/kaito-itsusaki/i09g/"	FALSE	"JPN"	"1997.03.31"	NA	"70kg"	"173cm"	"Right-Handed"	"Two-Handed Backhand"
"Filip Cristian Jianu"	"/en/players/filip-cristian-jianu/j09x/"	TRUE	"ROU"	"2001.09.18"	NA	"78kg"	"180cm"	"Right-Handed"	"Two-Handed Backhand"
"Aaron Schmid"	"/en/players/aaron-schmid/s0gy/"	FALSE	"SUI"	"2000.09.17"	NA	NA	NA	NA	NA
"Alexey Zakharov"	"/en/players/alexey-zakharov/z0ab/"	FALSE	NA	"2000.04.21"	NA	"80kg"	"185cm"	"Right-Handed"	"Two-Handed Backhand"
"Daniel Michalski"	"/en/players/daniel-michalski/m0e1/"	TRUE	"POL"	"2000.01.11"	"2018"	"77kg"	"180cm"	"Right-Handed"	"Two-Handed Backhand"
"Ibuki Furuta"	"/en/players/ibuki-furuta/f0b7/"	FALSE	"JPN"	"1996.04.25"	NA	NA	NA	"Right-Handed"	"Two-Handed Backhand"
"Charles Broom"	"/en/players/charles-broom/bv21/"	TRUE	"GBR"	"1998.04.24"	NA	"82kg"	"178cm"	"Right-Handed"	"Two-Handed Backhand"
"Francesco Forti"	"/en/players/francesco-forti/f0a4/"	TRUE	"ITA"	"1999.07.26"	"2018"	"80kg"	"188cm"	"Right-Handed"	"Two-Handed Backhand"
"Christopher Morin Kougoucheff"	"/en/players/christopher-morin-kougoucheff/mw49/"	FALSE	"FRA"	"1997.03.09"	NA	NA	NA	NA	NA
"Luigi Sorrentino"	"/en/players/luigi-sorrentino/s0ba/"	TRUE	"ITA"	"1998.06.18"	NA	"75kg"	"185cm"	"Right-Handed"	"Two-Handed Backhand"
"Tao Mu"	"/en/players/tao-mu/m09e/"	TRUE	"CHN"	"2000.04.28"	NA	"75kg"	"180cm"	"Right-Handed"	"Two-Handed Backhand"
"Anurag Nenwani"	"/en/players/anurag-nenwani/n0a7/"	FALSE	"IND"	"1998.05.09"	NA	"77kg"	"180cm"	"Right-Handed"	"Two-Handed Backhand"
"Masaki Osafune"	"/en/players/masaki-osafune/o491/"	FALSE	"JPN"	"1995.03.07"	NA	"67kg"	"170cm"	"Right-Handed"	"Two-Handed Backhand"
"Jenson Brooksby"	"/en/players/jenson-brooksby/b0cd/"	TRUE	"USA"	"2000.10.26"	"2021"	"83kg"	"193cm"	"Right-Handed"	"Two-Handed Backhand"
"Christopher G Haworth"	"/en/players/christopher-g-haworth/hb06/"	FALSE	"USA"	"1993.04.27"	NA	"86kg"	"191cm"	"Right-Handed"	"Two-Handed Backhand"
"Alexander Knight"	"/en/players/alexander-knight/k0ch/"	FALSE	"USA"	"1996.12.11"	NA	"86kg"	"193cm"	"Left-Handed"	"Two-Handed Backhand"
